Phase,Duration (seconds),Details
Min Area Search,732,Min area: 2507.13 um^2 at 4.91228515625 ns
Min Delay Search,811,Min delay constraint: 2.15474975586 ns
Pareto Point 1,77,Clock period: 2.15474975586 ns
Pareto Point 2,76,Clock period: 2.35171657017 ns
Pareto Point 3,75,Clock period: 2.54868338449 ns
Pareto Point 4,76,Clock period: 2.7456501988 ns
Pareto Point 5,73,Clock period: 2.94261701311 ns
Pareto Point 6,73,Clock period: 3.13958382743 ns
Pareto Point 7,74,Clock period: 3.33655064174 ns
Pareto Point 8,72,Clock period: 3.53351745606 ns
Pareto Point 9,73,Clock period: 3.73048427037 ns
Pareto Point 10,73,Clock period: 3.92745108468 ns
Pareto Point 11,71,Clock period: 4.124417899 ns
Pareto Point 12,72,Clock period: 4.32138471331 ns
Pareto Point 13,71,Clock period: 4.51835152762 ns
Pareto Point 14,71,Clock period: 4.71531834194 ns
Pareto Point 15,70,Clock period: 4.91228515625 ns
